pmid	status
39547534	full_text
38501667	full_text
36152636	full_text
34154439	full_text
33694229	full_text
31976311	full_text
30610862	full_text
29851107	full_text
29183074	full_text
28220514	full_text
28011612	full_text
27547925	full_text
26757463	full_text
25728808	full_text
24762631	full_text
30388112	full_text
